playerId,season,name,team,position,situation,games_played,icetime,primaryAssists,secondaryAssists,shotsOnGoal,shotAttempts,points,goals,penalties,penalityMinutes,hits,takeaways,giveaways,lowDangerGoals,mediumDangerGoals,highDangerGoals,faceoffsWon,faceoffsLost,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_goals,OnIce_A_goals
8476329,2022,Travis Boyd,ARI,C,5on4,82,11318,4,4,18,33,10,2,3,6,1,0,9,1,0,1,65,75,0,0,4,21,5
8473449,2022,Kyle Okposo,BUF,R,other,75,1477,0,1,6,10,5,4,0,0,0,1,0,0,1,3,6,6,0,0,2,5,7
8473449,2022,Kyle Okposo,BUF,R,all,75,66004,8,9,150,241,28,11,18,34,78,28,22,2,4,5,164,186,36,18,25,41,54
8473449,2022,Kyle Okposo,BUF,R,5on5,75,56088,7,6,132,208,19,6,16,30,73,21,19,2,2,2,130,141,34,17,21,28,33
8473449,2022,Kyle Okposo,BUF,R,4on5,75,4935,0,0,7,12,1,1,1,2,5,5,0,0,1,0,15,12,0,0,0,2,12
8473449,2022,Kyle Okposo,BUF,R,5on4,75,3504,1,2,5,10,3,0,1,2,0,1,3,0,0,0,10,21,0,0,1,6,2
8475906,2022,John Klingberg,MIN,D,other,67,3807,1,0,15,26,3,2,1,2,1,3,1,1,0,1,0,0,6,3,2,7,11
8475906,2022,John Klingberg,MIN,D,all,67,82910,15,8,112,272,33,10,17,34,55,22,46,9,0,1,0,0,20,9,84,69,77
8475906,2022,John Klingberg,MIN,D,5on5,67,69562,10,3,64,164,19,6,15,30,54,16,38,6,0,0,0,0,12,5,80,44,63
8475906,2022,John Klingberg,MIN,D,4on5,67,112,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
8475906,2022,John Klingberg,MIN,D,5on4,67,9429,4,4,33,81,10,2,0,0,0,2,7,2,0,0,0,0,0,0,0,16,3
8482147,2022,Jean-Luc Foudy,COL,C,other,9,81,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8482147,2022,Jean-Luc Foudy,COL,C,all,9,5416,0,0,12,15,0,0,3,6,2,3,5,0,0,0,0,3,8,4,2,2,5
8482147,2022,Jean-Luc Foudy,COL,C,5on5,9,4925,0,0,11,14,0,0,2,4,1,3,5,0,0,0,0,3,6,3,2,2,5
8482147,2022,Jean-Luc Foudy,COL,C,4on5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482147,2022,Jean-Luc Foudy,COL,C,5on4,9,410,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8478397,2022,Rasmus Andersson,CGY,D,other,79,4877,1,1,12,19,2,0,2,4,2,0,2,0,0,0,0,0,2,1,11,8,14
8478397,2022,Rasmus Andersson,CGY,D,all,79,114172,23,15,159,304,49,11,13,26,50,29,51,6,2,3,0,0,28,14,136,116,89
8478397,2022,Rasmus Andersson,CGY,D,5on5,79,85469,11,5,110,206,24,8,10,20,40,21,41,5,1,2,0,0,26,13,104,68,58
8478397,2022,Rasmus Andersson,CGY,D,4on5,79,10374,1,0,6,9,2,1,0,0,4,4,5,0,1,0,0,0,0,0,6,3,13
8478397,2022,Rasmus Andersson,CGY,D,5on4,79,13452,10,9,28,65,20,1,0,0,4,4,3,0,0,1,0,0,0,0,13,35,2
8477499,2022,Rasmus Ristolainen,PHI,D,other,74,2328,1,0,2,6,1,0,1,2,2,0,1,0,0,0,0,0,0,0,11,7,8
8477499,2022,Rasmus Ristolainen,PHI,D,all,74,84467,7,10,86,173,20,3,16,32,162,24,43,1,1,1,0,0,12,6,142,61,85
8477499,2022,Rasmus Ristolainen,PHI,D,5on5,74,69633,4,6,69,140,11,1,15,30,139,19,38,0,1,0,0,0,12,6,96,43,50
8477499,2022,Rasmus Ristolainen,PHI,D,4on5,74,9195,0,2,5,7,3,1,0,0,18,3,3,0,0,1,0,0,0,0,3,5,25
8477499,2022,Rasmus Ristolainen,PHI,D,5on4,74,3311,2,2,9,17,5,1,0,0,3,2,1,1,0,0,0,0,0,0,18,6,0
8477220,2022,Nate Schmidt,WPG,D,other,71,2594,0,1,5,9,2,1,0,0,1,0,1,0,1,0,0,0,4,1,1,8,5
8477220,2022,Nate Schmidt,WPG,D,all,71,78671,5,7,101,245,19,7,4,8,45,21,50,4,3,0,0,0,14,6,85,52,35
